Item,Supplier,URL,Qty,Unit Price (EUR),Line Total (EUR)
Breadboards,AliExpress,https://nl.aliexpress.com/item/1005007557572041.html?spm=a2g0o.order_list.order_list_main.79.2a4179d2lW3nZe&gatewayAdapt=glo2nld,2,1.69,3.38
Jumper Wires,AliExpress,https://nl.aliexpress.com/item/1005007138874742.html?spm=a2g0o.order_list.order_list_main.70.2a4179d2lW3nZe&gatewayAdapt=glo2nld,1,1.53,1.53
Thumb Joystick (Grove),SOS Solutions,https://www.sossolutions.nl/seeed-grove-thumb-joystick,1,4.99,4.99
Turnigy LiPo Battery 3000mAh 3S 20C (XT60),HobbyKing,https://hobbyking.com/en_us/turnigy-battery-3000mah-3s-20c-lipo-pack-xt-60.html,1,22.2,22.2
XT60 Cable Splitter,Amazon (BE),https://www.amazon.com.be/-/nl/Y-accuconnectoren-vrouwelijke-verlengingskabel-quadcopters-LiPo-batterij/dp/B0BL6XLKCK/ref=sr_1_4?sr=8-4,1,12.99,12.99
Bearings,AliExpress,https://nl.aliexpress.com/item/1005005511187974.html?spm=a2g0o.productlist.main.2.3c94x90ix90ivF&algo_pvid=f5bef0fc-a98b-4cfd-b33b-e8bd7f1f5b0a&pdp_ext_f=%7B%22order%22%3A%225037%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A,1,3.08,3.08
Outrunner Motor,Amazon (BE),https://www.amazon.com.be/professionele-borstelloze-upgrade-onderdelen-compatibel-quadcopter/dp/B08GFGYTWG/ref=sr_1_49_sspa?sr=8-49-spons&xpid=_nmKDxwXYAR5Z&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1,2,15.54,31.08
ESC,Amazon (BE),https://www.amazon.com.be/-/nl/gp/product/B0CK279BV1/ref=ox_sc_act_image_2?smid=A2D3HAWPO6HEDQ&psc=1,2,9.16,18.32
Wheel Tyres,Amazon (BE),https://www.amazon.com.be/-/nl/gp/product/B07Y5433X1/ref=ox_sc_act_image_4?smid=A1V2OFDVMKYJ5U&psc=1,1,12.99,12.99
ESP32 NodeMCU (ESP-WROOM-32) Dev Board,Amazon (BE),https://www.amazon.com.be/-/nl/NodeMCU-ESP-WROOM-32-ontwikkelingskaart-Bluetooth-microcontroller/dp/B0DB8CYQBS/ref=sr_1_5?sr=8-5,1,12.98,12.98
TOTAL,,,,,123.54
